CANONICAL_SMILES,REFERENCE_ID,NAME,DOI,LINK,ORGANISM,ORGANISM_PART,COCONUT_ID,MOL_FILENAME,STRUCTURAL_COMMENTS,GEO_LOCATION,LOCATION
COC1=CC2=C(C=C1O)[C@@H]1CC3=CC=C(OC)C(O)=C3CN1CC2,106,Annonaceae,10.1177/1934578x1701201018,http://www.inflamnat.com/#/main/search/detail?id=106,Annonaceae,,,,,,
CON1C(=O)[C@@]2(C[C@@H]3N=C([C@@](C)(O)CC(C)[C@]45ON4[C@H]4C[C@@]6(C(=O)N(OC)C7=C6C=CC=C7)[C@H]6C[C@@H]5[C@@H]4CO6)[C@@H]4C[C@H]2OC[C@H]34)C2=C1C=CC=C2,151,Loganiaceae  ,10.1021/np4005536,http://www.inflamnat.com/#/main/search/detail?id=151,Loganiaceae  ,,,,,,
CC1=C2OC(C)(C)C=CC2=C2NC3=C(C=CC=C3)C2=C1,160,Rutaceae,10.2147/dddt.s115135,http://www.inflamnat.com/#/main/search/detail?id=160,Rutaceae,,,,,,
COC1=CC2=C(C=C1)C1=C(N2)C(C)=NC=C1,173,Zygophyllaceae,10.1016/j.bbrc.2017.05.126,http://www.inflamnat.com/#/main/search/detail?id=173,Zygophyllaceae,,,,,,
CC[C@H]1CN2CCC3=C(NC4=C3C=CC=C4)[C@H]2C[C@@H]1/C(=C\OC)C(=O)OC,187,Rubiaceae,10.3892/mmr.2012.1135,http://www.inflamnat.com/#/main/search/detail?id=187,Rubiaceae,,,,,,
OCC1=CNC2=C1C=CC=C2,197,Cruciferae,10.1016/j.fct.2013.03.040,http://www.inflamnat.com/#/main/search/detail?id=197,Cruciferae,,,,,,
O=C1N=CN=CN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,326,Fungi,10.1016/j.phymed.2013.06.005,http://www.inflamnat.com/#/main/search/detail?id=326,Fungi,,,,,,
O=C(/C=C/C=C/C1=CC2=C(C=C1)OCO2)N1CCCCC1,323,Piperaceae,10.1016/j.cellimm.2013.09.001,http://www.inflamnat.com/#/main/search/detail?id=323,Piperaceae,,,,,,
COC1=C(OC)C(OC)=CC(/C=C/C(=O)N2CCC=CC2=O)=C1,324,Piperaceae,10.1016/j.bcp.2015.03.014,http://www.inflamnat.com/#/main/search/detail?id=324,Piperaceae,,,,,,
O=C(NCCC1=CC=CC=C1)C1=CC=CC=C1,348, Lauraceae,10.1016/j.cbi.2015.01.029,http://www.inflamnat.com/#/main/search/detail?id=348, Lauraceae,,,,,,
C[N+]1=CC2=C3OCOC3=CC=C2C2=C1C1=C(C=C2)C=C2OCOC2=C1,352,Widely distributed in plant,10.1016/j.ejphar.2012.05.039,http://www.inflamnat.com/#/main/search/detail?id=352,Widely distributed in plant,,,,,,
COC1=C2C3=C(C=C1O)C(=O)N(C)C3=CC1=C2C=CC=C1,356,Saururaceae,10.1016/j.intimp.2009.11.014,http://www.inflamnat.com/#/main/search/detail?id=356,Saururaceae,,,,,,
C1=CC2=C(C=C1)C(CC1=CNC3=C1C=CC=C3)=CN2,363,Widely distributed in plant,10.1016/j.bcp.2009.10.010,http://www.inflamnat.com/#/main/search/detail?id=363,Widely distributed in plant,,,,,,
O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,367,Euphorbiaceae,10.1155/2017/8302636,http://www.inflamnat.com/#/main/search/detail?id=367,Euphorbiaceae,,,,,,
COC1=C[C@@H]2[C@@H]3CC4=C(C(O)=C(OC)C=C4)[C@]2(CCN3C)CC1=O,417,Menispermaceae,10.1186/1742-2094-4-23,http://www.inflamnat.com/#/main/search/detail?id=417,Menispermaceae,,,,,,
COC1=CC=C2C=C1OC1=CC=C(C=C1)C[C@H]1C3=C(C=C(OC)C(=C3)OC3=C4C(=CC(OC)=C3OC)CCN(C)[C@H]4C2)CCN1C,436,Menispermaceae,10.1248/bpb.30.59,http://www.inflamnat.com/#/main/search/detail?id=436,Menispermaceae,,,,,,
O=C1C2=C(C=CC=C2)N2C1=NC1=C(C=CC=C1)C2=O,443,Polygonaceae,10.1007/s12272-018-1020-8,http://www.inflamnat.com/#/main/search/detail?id=443,Polygonaceae,,,,,,
COC1=C2C=C3C(=C1)CCN(C)C3CC1=CC=C(C=C1)OC1=C(O)C=CC(=C1)CC1C3=C(O2)C(OC)=C(OC)C=C3CCN1C,455,Berberidaceae,10.1159/000475650,http://www.inflamnat.com/#/main/search/detail?id=455,Berberidaceae,,,,,,
COC1=C2NC=CC3=C2N(C(=O)C1=O)C1=C3C=CC=C1,458,Simaroubaceae,10.1016/j.phymed.2012.11.016,http://www.inflamnat.com/#/main/search/detail?id=458,Simaroubaceae,,,,,,
COC(=O)/C=C/NC(=O)C1=NC(C(C)=O)=C2NC3=CC=CC=C3C2=C1,461,Caryophyllaceae,10.1021/np1003627,http://www.inflamnat.com/#/main/search/detail?id=461,Caryophyllaceae,,,,,,
CC(=O)C1=C2NC3=CC=CC=C3C2=CC(C(N)=O)=N1,462,Caryophyllaceae,10.1021/np1003627,http://www.inflamnat.com/#/main/search/detail?id=462,Caryophyllaceae,,,,,,
COC(=O)/C=C\NC(=O)C1=NC(C(C)=O)=C2NC3=CC=CC=C3C2=C1,463,Caryophyllaceae,10.1021/np1003627,http://www.inflamnat.com/#/main/search/detail?id=463,Caryophyllaceae,,,,,,
C/C=C(/C)C(=O)O[C@@H](C)C1=C2NC3=CC=CC=C3C2=CC(C(=O)N/C=C\C(=O)OC)=N1,464,Caryophyllaceae,10.1021/np1003627,http://www.inflamnat.com/#/main/search/detail?id=464,Caryophyllaceae,,,,,,
COC(=O)C1=NC(C(C)=O)=C2NC3=CC=CC=C3C2=C1,465,Caryophyllaceae,10.1021/np1003627,http://www.inflamnat.com/#/main/search/detail?id=465,Caryophyllaceae,,,,,,
COC1=CC=C2C(=C1)NC1=C(/C=C/C(=O)O)N=CC=C12,466,Simaroubaceae,10.1080/14786419.2015.1056187,http://www.inflamnat.com/#/main/search/detail?id=466,Simaroubaceae,,,,,,
